param_id,trial_type,trial_number,total_trial_number,mean_sample
41,background,3,6,14.9
41,background,4,4,12.166666666666666
41,background,4,6,11.415000000000001
41,background,5,6,9.175
41,background,6,6,9.079824561403509
41,deviant,2,2,23.291666666666668
41,deviant,4,4,12.166666666666666
41,deviant,6,6,9.079824561403509
42,background,1,2,36.70666666666666
42,background,1,4,29.67
42,background,1,6,31.345
42,background,2,2,14.473333333333333
42,background,2,4,14.281666666666666
42,background,2,6,14.176666666666668
42,background,3,4,8.868333333333334
42,background,3,6,8.37
42,background,4,4,8.191666666666666
42,background,4,6,7.641666666666667
42,background,5,6,6.943333333333333
42,background,6,6,6.336666666666667
42,deviant,2,2,14.473333333333333
42,deviant,4,4,8.191666666666666
42,deviant,6,6,6.336666666666667
43,background,1,2,62.236666666666665
43,background,1,4,62.593333333333334
43,background,1,6,73.22833333333334
43,background,2,2,23.193333333333335
43,background,2,4,20.983333333333334
43,background,2,6,24.161666666666665
43,background,3,4,14.352280701754387
43,background,3,6,15.924473684210525
43,background,4,4,12.412807017543859
43,background,4,6,12.415087719298246
43,background,5,6,10.18157894736842
43,background,6,6,9.578859649122807
43,deviant,2,2,23.193333333333335
43,deviant,4,4,12.412807017543859
43,deviant,6,6,9.578859649122807
44,background,1,2,39.9
44,background,1,4,38.733333333333334
44,background,1,6,39.965
44,background,2,2,13.658333333333333
44,background,2,4,13.568333333333333
44,background,2,6,13.13
44,background,3,4,9.795
44,background,3,6,9.086666666666666
44,background,4,4,7.293333333333333
44,background,4,6,7.555
44,background,5,6,6.118333333333333
44,background,6,6,5.435
44,deviant,2,2,13.658333333333333
44,deviant,4,4,7.293333333333333
44,deviant,6,6,5.435
45,background,1,2,65.55333333333333
45,background,1,4,67.34166666666667
45,background,1,6,68.20833333333333
45,background,2,2,22.465
45,background,2,4,21.55666666666667
45,background,2,6,21.47
45,background,3,4,14.413333333333334
45,background,3,6,13.873333333333333
45,background,4,4,12.47982456140351
45,background,4,6,11.84
45,background,5,6,9.8533333333333335
45,background,6,6,8.016929824561403
45,deviant,2,2,22.465
45,deviant,4,4,12.47982456140351
45,deviant,6,6,8.016929824561403
46,background,1,2,41.68833333333333
46,background,1,4,39.57833333333333
46,background,1,6,41.92068965517242
46,background,2,2,13.861666666666666
46,background,2,4,12.493333333333332
46,background,2,6,14.072413793103449
46,background,3,4,8.381666666666666
46,background,3,6,9.6
46,background,4,4,7.205
46,background,4,6,7.577586206896552
46,background,5,6,6.665517241379311
46,background,6,6,5.841379310344828
46,deviant,2,2,13.861666666666666
46,deviant,4,4,7.205
46,deviant,6,6,5.841379310344828
